slug,name,oneLiner,description,category,logoUrl,websiteUrl,docsUrl,pricingUrl,apiType,authMethod,hasFreeTier,sdkLanguages,hasWebhooks,aiCapabilities,aiDifficulty,starterPrompt,mcpReady,isFeatured,alternativeTo,integrations
apollo,Apollo.io,Sales intelligence and engagement platform with a massive B2B contact database.,"Apollo.io provides a REST API that gives developers programmatic access to over 275 million verified contacts and 60 million companies. Build prospecting workflows, enrich leads in real time, and sync data directly into your CRM. The API supports advanced search filters, email sequencing, and engagement tracking, making it ideal for teams that want to automate top-of-funnel pipeline generation.",Prospecting,/logos/apollo.svg,https://www.apollo.io,https://apolloio.github.io/apollo-api-docs/,https://www.apollo.io/pricing,"[""REST""]","[""API Key""]",,,,,,,,,,"{
        platform: ""MCP"",
        url: ""https://github.com/apollo-io/mcp-server"",
        label: ""Community MCP Server"",
        mcpConfig: '{\n  ""mcpServers"": {\n    ""apollo"": {\n      ""command"": ""npx"",\n      ""args"": [""-y"", ""@apollo/mcp-server"""
clay,Clay,Creative data enrichment and outbound automation platform.,"Clay's REST API lets you programmatically run waterfall enrichment across 100+ data providers, build dynamic lead lists, and orchestrate personalized outbound campaigns. It acts as a universal connector between data sources so you can enrich any prospect record with firmographic, technographic, and intent signals. Clay is a go-to tool for revenue teams building highly targeted, data-driven outreach at scale.",Prospecting,/logos/clay.svg,https://www.clay.com,https://docs.clay.com,https://www.clay.com/pricing,"[""REST""]","[""API Key""]",false,[],true,"[""Waterfall Enrichment"", ""AI-Powered Outbound"", ""Universal Data Connector""]",Technical,"Claude, use Clay to enrich this list of domains with their latest funding round and LinkedIn URL.",false,true,"[""Apollo.io"", ""ZoomInfo"", ""Clearbit""]",
prospeo,Prospeo,Email finder and verification API for sales prospecting.,"Prospeo offers a straightforward REST API for finding and verifying professional email addresses at scale. Use the email finder to locate contacts by name and domain, run bulk verification to clean your lists, and extract emails from LinkedIn profiles. Prospeo is designed for lean sales teams and developers who need reliable email discovery without the overhead of a full-suite platform.",Prospecting,/logos/prospeo.svg,https://prospeo.io,https://prospeo.io/api/documentation,https://prospeo.io/pricing,"[""REST""]","[""API Key""]",true,[],false,"[""Email Finding"", ""Email Verification"", ""LinkedIn Data Extraction""]",Beginner-Friendly,"Claude, find the professional email for the CEO of Stripe using Prospeo.",false,false,"[""Hunter.io"", ""Snov.io""]",
inbox,Inbox,The unified API and MCP server for managing X (Twitter) DMs.,"Inbox provides a programmatic way to send and manage DM conversations across messaging platforms, starting with X. It offers a REST API for message automation, CRM synchronization, and AI-powered responses. With its native MCP server, you can connect tools like Claude or Cursor directly to your Twitter DMs to automate outreach and support workflows.",Sales Engagement,/logos/inbox.svg,https://inboxapp.com,https://docs.inboxapp.com,https://inboxapp.com/pricing,"[""REST""]","[""Bearer Token""]",,,,,,,,,,[]
intellizence,Intellizence,AI-powered company intelligence and business signal API.,"Intellizence provides a powerful API for tracking critical business signals like M&A deals, startup funding, layoffs, and C-suite changes. It enables sales and investment teams to programmatically monitor their target accounts for 'intent' triggers. With deep coverage of company news and structured data on venture capital deals, Intellizence is a key tool for building automated, signal-based outbound workflows.",Prospecting,/logos/intellizence.svg,https://intellizence.com,https://docs.intellizence.com,https://intellizence.com/pricing,"[""REST""]","[""API Key""]",false,[],true,"[""M&A Signal Tracking"", ""Funding Deal Alerts"", ""Layoff & Hiring Intelligence"", ""C-Suite Change Monitoring""]",Intermediate,"Claude, use Intellizence to find any recent Series B funding rounds for SaaS companies in New York.",false,false,"[""Crunchbase"", ""Crayon"", ""Owler""]",
jebbit,Jebbit,Interactive quiz platform for capturing zero-party consumer data.,"Jebbit's REST API allows developers to programmatically manage interactive quizzes, product feeds, and lead capture workflows. It specializes in 'zero-party data'—data that customers intentionally share with a brand. By integrating Jebbit into your sales stack, you can sync high-intent lead data directly to your CRM and trigger personalized follow-ups based on quiz responses.",Sales Engagement,/logos/jebbit.svg,https://www.jebbit.com,https://developers.jebbit.com,https://www.jebbit.com/pricing,"[""REST""]","[""OAuth2""]",true,[],true,"[""Zero-Party Data Collection"", ""Automated Quiz Management"", ""Dynamic Lead Scoring""]",Intermediate,"Claude, use the Jebbit API to fetch the latest quiz results for my 'Product Matcher' campaign and summarize the top preferences.",false,false,"[""Typeform"", ""Outgrow""]",
journy,Journy.io,Customer intelligence and product-led growth (PLG) platform.,"Journy.io provides a robust REST API for syncing customer behavior data, product usage, and lead scores across your sales and marketing stack. It helps revenue teams identify 'Product Qualified Leads' (PQLs) by analyzing how users interact with their application. With its automation engine, you can trigger personalized outreach in your CRM or messaging tools based on real-time user intent signals.",Analytics,/logos/journy.svg,https://www.journy.io,https://docs.journy.io,https://www.journy.io/pricing,"[""REST""]","[""API Key""]",true,"[""Node.js"", ""Python"", ""Ruby""]",true,"[""Lead Scoring"", ""User Intent Analysis"", ""Automated PQL Identification""]",Intermediate,"Claude, use Journy.io to find users who have performed more than 5 key actions in the last 24 hours and score them for outreach.",false,true,"[""Sherlock"", ""Pocus"", ""Correlated""]",
journey,Journey.io,Interactive sales rooms and buyer engagement platform.,"Journey.io's API enables developers to programmatically create and manage interactive sales 'journeys'—customizable landing pages that house all your sales materials, videos, and documents. By tracking how buyers interact with these journeys, sales teams get granular insights into deal progress. The API allows for automated journey creation upon lead signup, ensuring a personalized buyer experience at scale.",Sales Enablement,/logos/journey.svg,https://journey.io,https://journey.io/developers,https://journey.io/pricing,"[""REST""]","[""API Key""]",true,[],true,"[""Automated Sales Room Creation"", ""Buyer Intent Tracking"", ""Personalized Content Orchestration""]",Intermediate,"Claude, create a new Journey.io room for 'Acme Corp' and add the latest case study and pricing PDF.",false,false,"[""GetAccept"", ""DocSend"", ""Highspot""]",
justcall,JustCall,Cloud phone system for sales and support teams with deep CRM integrations.,"JustCall's REST API allows developers to programmatically initiate calls, send SMS/MMS, and retrieve call recordings and analytics. It is designed for sales teams that want to build custom dialers or automate voice-based workflows within their CRM. With its robust webhook support, you can trigger actions in real-time when a call is started, answered, or completed, making it a cornerstone for automated sales operations.",Sales Engagement,/logos/justcall.svg,https://justcall.io,https://help.justcall.io/en/collections/2290453-developer-apis-webhooks,https://justcall.io/pricing,"[""REST""]","[""API Key""]",false,"[""Node.js"", ""Python"", ""PHP""]",true,"[""Automated Voice Dialing"", ""SMS Campaign Automation"", ""Call Analytics Retrieval""]",Intermediate,"Claude, use JustCall to send an SMS to this list of prospects asking if they'd like to book a demo.",false,true,"[""Aircall"", ""RingCentral"", ""Dialpad""]",
kaspr,Kaspr,LinkedIn-first B2B contact data retrieval and prospecting tool.,"Kaspr provides a developer API that allows programmatic access to its massive database of business and contact information. Developers can retrieve verified names, email addresses, and phone numbers directly from LinkedIn profiles. The API is designed for building custom prospecting workflows and keeping your CRM data up-to-date with high-accuracy contact details.",Prospecting,/logos/kaspr.svg,https://www.kaspr.io,https://developer.kaspr.io,https://www.kaspr.io/pricing,"[""REST""]","[""Bearer Token""]",true,[],false,"[""LinkedIn Data Extraction"", ""B2B Contact Retrieval"", ""CRM Data Enrichment""]",Beginner-Friendly,"Claude, use Kaspr to find the contact info for the VP of Sales at any company I provide a LinkedIn URL for.",false,false,"[""Lusha"", ""Apollo.io"", ""Hunter.io""]",
katalyz,Katalyz,Collaborative digital sales rooms for B2B engagement.,"Katalyz enables sales teams to create shared, digital spaces where they can collaborate with prospects and customers. The platform's API allows for automated creation of sales rooms directly from CRM triggers, ensuring that every new lead or opportunity gets a personalized, collaborative portal. It tracks engagement within the room, providing sales reps with real-time insights into buyer intent and deal momentum.",Sales Enablement,/logos/katalyz.svg,https://www.katalyz.co,https://docs.katalyz.co,https://www.katalyz.co/pricing,"[""REST""]","[""API Key""]",true,[],true,"[""Automated Sales Room Orchestration"", ""Buyer Engagement Tracking"", ""CRM Triggered Workflows""]",Intermediate,"Claude, create a Katalyz sales room for my new deal with 'Future Tech' and include the proposal and demo video.",false,false,"[""Journey.io"", ""GetAccept"", ""DocSend""]",
kixie,Kixie,AI-powered sales dialer and SMS platform for high-velocity teams.,"Kixie offers a robust API for automating voice and SMS communication within your sales stack. It features AI-powered dialing, local presence, and deep CRM integrations that can be orchestrated programmatically. Developers can use the API to trigger calls, send personalized SMS campaigns, and sync call logs and recordings directly into their business systems, significantly boosting rep productivity.",Sales Engagement,/logos/kixie.svg,https://kixie.com,https://developer.kixie.com,https://kixie.com/pricing,"[""REST""]","[""API Key""]",false,"[""Node.js"", ""Python""]",true,"[""AI Parallel Dialing"", ""Automated SMS Outreach"", ""Intelligent Call Routing""]",Intermediate,"Claude, start a Kixie campaign to dial the 50 leads from my 'Hot Leads' list and leave a pre-recorded voicemail if they don't answer.",false,true,"[""Orum"", ""PhoneBurner"", ""Aircall""]",
klenty,Kaspr,LinkedIn-first B2B contact data retrieval and prospecting tool.,"Kaspr provides a developer API that allows programmatic access to its massive database of business and contact information. Developers can retrieve verified names, email addresses, and phone numbers directly from LinkedIn profiles. The API is designed for building custom prospecting workflows and keeping your CRM data up-to-date with high-accuracy contact details.",Prospecting,/logos/kaspr.svg,https://www.kaspr.io,https://developer.kaspr.io,https://www.kaspr.io/pricing,"[""REST""]","[""Bearer Token""]",true,[],false,"[""Enrich LinkedIn Leads"", ""Retrieve Verified Emails"", ""Find Mobile Numbers""]",Beginner-Friendly,"Claude, use Kaspr to find the mobile phone number for this LinkedIn profile URL.",false,false,"[""Lusha"", ""Apollo.io"", ""Cognism""]",
cognism,Cognism,Global B2B sales intelligence with premium mobile data.,"Cognism offers a robust API for searching, previewing, and enriching contact and account data from its globally compliant database. It is especially strong in European markets and provides 'Diamond Data'—phone-verified mobile numbers. The API supports deep enrichment and intent-based prospecting, allowing developers to build sophisticated outbound systems that target the right buyers at the right time.",Prospecting,/logos/cognism.svg,https://www.cognism.com,https://cognism.com/api-docs,https://www.cognism.com/pricing,"[""REST""]","[""API Key""]",false,[],true,"[""Global Data Enrichment"", ""Intent-Based Prospecting"", ""Verified Mobile Data""]",Technical,"Claude, search Cognism for companies in the UK using Salesforce and get their VP of Sales contact info.",false,false,"[""ZoomInfo"", ""Apollo.io"", ""Lusha""]",
crawl4ai,Crawl4AI,Open-source LLM-friendly web crawler and scraper.,"Crawl4AI is an open-source Python library designed to crawl websites and convert them into clean, structured Markdown for Large Language Models. It features stealth mode to avoid bot detection, session management for complex workflows, and the ability to extract structured data using LLMs. It is a favorite among AI-native operators for 'automated website verification' and researching thousands of company pages at once.",Prospecting,/logos/crawl4ai.svg,https://crawl4ai.com,https://crawl4ai.com/docs,https://github.com/unclecode/crawl4ai,"[""REST""]","[""None""]",,,,,,,,,,[]
firecrawl,Firecrawl,Turn any website into LLM-ready Markdown or structured JSON.,"Firecrawl is an API-first service that crawls and scrapes websites, handling complex tasks like JavaScript rendering and bot detection automatically. It is designed to deliver perfectly formatted Markdown or JSON for AI agents and RAG systems. With 'Zero-Selector Extraction', you can use natural language to specify what data you want to extract, making it a favorite for AI-native operators building dynamic directories.",Prospecting,/logos/firecrawl.svg,https://www.firecrawl.dev,https://docs.firecrawl.dev,https://www.firecrawl.dev/pricing,"[""REST""]","[""Bearer Token""]",,,,,,,,,,[]
outscraper,Outscraper,Extract high-quality business data from Google Maps and beyond.,"Outscraper provides a powerful API for scraping business listings, reviews, and contact details from Google Maps, Amazon, and other public sources. It is widely used for building niche directories (as seen in the Frey Chu workflow) to gather initial seed data for local businesses or specialized industries. The API handles proxies and scaling, providing clean CSV or JSON outputs ready for AI enrichment.",Prospecting,/logos/outscraper.svg,https://outscraper.com,https://app.outscraper.com/api-docs,https://outscraper.com/pricing,"[""REST""]","[""API Key""]",true,"[""Python"", ""Node.js"", ""PHP""]",true,"[""Bulk Business Scraping"", ""Google Maps Enrichment"", ""Review Analysis""]",Beginner-Friendly,"Claude, use Outscraper to find the top 50 restaurants in Brooklyn with their website and phone number.",false,false,"[""Apify"", ""Bright Data"", ""PhantomBuster""]",
hunter,Hunter.io,The standard for finding and verifying professional email addresses.,"Hunter.io provides a robust REST API for domain search, email finding, and email verification. It is a core tool for prospecting, allowing AI agents to find the right contacts at any company just by their domain. Hunter also offers an official MCP server, enabling AI assistants to perform real-time contact discovery and verification via chat.",Prospecting,/logos/hunter.svg,https://hunter.io,https://hunter.io/api-documentation/v2,https://hunter.io/pricing,"[""REST""]","[""API Key""]",,,,,,,,,,[]
